firm_name,challenge_name,account_size,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url
DayTraders,Trail 150K,150000,,,,,,,,,,
DayTraders,EOD 150K,150000,,,,,,,,required,50,
DayTraders,Trail 80% Split 150K,150000,,,,,,,,,,
DayTraders,Trail 300K,300000,,,,,,,,,,
DayTraders,EOD 300K,300000,,,,,,,,required,50,
DayTraders,Trail 80% Split 300K,300000,,,,,,,,,,
E8 Futures,Challenge 25K,25000,,,,,,,,,,
E8 Futures,E8 Zero Starter 50K,50000,,,,,,,,required,40,
E8 Futures,E8 Zero Max 50K,50000,,,,,,,,required,40,
E8 Futures,E8 Signature 50K,50000,,,,,,,,required,35,
E8 Futures,Challenge 50K,50000,,,,,,,,,,
E8 Futures,Challenge Daily 50K,50000,,,,,,,,,,
E8 Futures,E8 Zero Starter 100K,100000,,,,,,,,required,40,
E8 Futures,E8 Zero Max 100K,100000,,,,,,,,required,40,
E8 Futures,E8 Signature 100K,100000,,,,,,,,required,35,
E8 Futures,Challenge 100K,100000,,,,,,,,,,
E8 Futures,Challenge Daily 100K,100000,,,,,,,,,,
E8 Futures,E8 Signature 150K,150000,,,,,,,,required,35,
E8 Futures,Challenge 150K,150000,,,,,,,,,,
E8 Futures,E8 Zero Starter 200K,200000,,,,,,,,required,40,
E8 Futures,E8 Zero Max 200K,200000,,,,,,,,required,40,
E8 Futures,E8 Signature 200K,200000,,,,,,,,required,35,
E8 Futures,Challenge Static 200K,200000,,,,,,,,,,
E8 Markets,1-Step Trailing 5K,5000,,,,,,,,,,
E8 Markets,1-Step Static 10K,10000,,,,,,,,,,
E8 Markets,1-Step Static 25K,25000,,,,,,,,,,
E8 Markets,1-Step Static 50K,50000,,,,,,,,,,
E8 Markets,1-Step Static 100K,100000,,,,,,,,,,
E8 Markets,1-Step Trailing 200K,200000,,,,,,,,,,
Earn2Trade,Trader Career Path 25K,25000,,,,,,,,required,30,
Earn2Trade,Gauntlet Mini 25K,25000,,,,,,,,required,30,
Earn2Trade,Trader Career Path 50K,50000,,,,,,,,required,30,
Earn2Trade,Gauntlet Mini 50K,50000,,,,,,,,required,30,
Earn2Trade,Trader Career Path 100K,100000,,,,,,,,required,30,
Earn2Trade,Gauntlet Mini 100K,100000,,,,,,,,required,30,
Earn2Trade,Trader Career Path 150K,150000,,,,,,,,required,30,
Earn2Trade,Gauntlet Mini 150K,150000,,,,,,,,required,30,
Funded Futures Family,Velocity 25K,25000,,,,,,,,required,40,
Funded Futures Family,Premier Plus 25K,25000,,,,,,,,,,
Funded Futures Family,Velocity 50K,50000,,,,,,,,required,40,
Funded Futures Family,S2F 50K,50000,,,,,,,,,,
Funded Futures Family,Premier Plus 50K,50000,,,,,,,,,,
Funded Futures Family,Velocity 100K,100000,,,,,,,,required,40,
Funded Futures Family,S2F 100K,100000,,,,,,,,,,
Funded Futures Family,Premier Plus 100K,100000,,,,,,,,,,
Funded Futures Family,Velocity 150K,150000,,,,,,,,required,40,
Funded Futures Family,Premier Plus 150K,150000,,,,,,,,,,
FundedElite,1-Step 5K,5000,,,,,,,,,,
FundedElite,2-Step 5K,5000,,,,,,,,,,
FundedElite,2-Step 15K,15000,,,,,,,,,,
FundedElite,2-Step 25K,25000,,,,,,,,,,
FundedElite,Instant 25K,25000,,,,,,,,,,
FundedElite,2-Step 100K,100000,,,,,,,,,,
FundedNext,1-Step 6K,6000,,,,,,,,,,
FundedNext,1-Step 15K,15000,,,,,,,,,,
FundedNext,1-Step 25K,25000,,,,,,,,,,
FundedNext,1-Step 50K,50000,,,,,,,,,,
FundedNext,2-Step 100K,100000,,,,,,,,,,
FundedNext,2-Step 200K,200000,,,,,,,,,,
FundedNext Futures,Rapid Pro 25K,25000,,,,,,,,required,40,
FundedNext Futures,Rapid Daily 25K,25000,,,,,,,,not_required,,
FundedNext Futures,Flex 25K,25000,,,,,,,,required,40,
FundedNext Futures,Legacy 25K,25000,,,,,,,,required,40,
FundedNext Futures,Rapid Pro 50K,50000,,,,,,,,required,40,
FundedNext Futures,Rapid Daily 50K,50000,,,,,,,,not_required,,
FundedNext Futures,Flex 50K,50000,,,,,,,,required,40,
FundedNext Futures,Legacy 50K,50000,,,,,,,,required,40,
FundedNext Futures,Rapid Pro 100K,100000,,,,,,,,required,40,
FundedNext Futures,Rapid Daily 100K,100000,,,,,,,,not_required,,
FundedNext Futures,Flex 100K,100000,,,,,,,,required,40,
FundedNext Futures,Legacy 100K,100000,,,,,,,,required,40,
FundedNext Futures,Flex 150K,150000,,,,,,,,required,40,
FundingPips,2-Step Flex 5K,5000,,,,,,,,,,
FundingPips,2-Step 10K,10000,,,,,,,,,,
FundingPips,2-Step 25K,25000,,,,,,,,,,
FundingPips,2-Step 50K,50000,,,,,,,,,,
FundingPips,2-Step 100K,100000,,,,,,,,,,
FundingPips,1-Step 100K,100000,,,,,,,,,,
FuturesElite,Instant Challenge 25K,25000,,,,,,,,required,20,
FuturesElite,Prime 50K,50000,,,,,,,,,,
FuturesElite,Elite 50K,50000,,,,,,,,,,
FuturesElite,Instant Challenge 50K,50000,,,,,,,,required,20,
FuturesElite,Prime 100K,100000,,,,,,,,,,
FuturesElite,Elite 100K,100000,,,,,,,,,,
FuturesElite,Instant Challenge 100K,100000,,,,,,,,required,20,
FuturesElite,Prime 150K,150000,,,,,,,,,,
FuturesElite,Elite 150K,150000,,,,,,,,,,
