firm_name,firm_website,challenge_name,markets,account_size,price,currency,profit_target_pct,max_drawdown_pct,daily_drawdown_pct,drawdown_type,minimum_days,maximum_days,payout_frequency_days,payout_split_pct,payout_conditions,platforms,leverage,refund_policy,country_restrictions,phases,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url,source_type,confidence,status
Trade The Pool,,1-Step 100K,cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Blue Guardian,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Moneta Funded,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
FundedElite,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Maven,,Standard 1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Finotive Funding,,Instant 100K,forex;crypto;cfd,100000,$599.00,USD,,10,5,trailing,,,14,80,,MT5;cTrader,1:100,,,0,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Audacity Capital,,1-Step 100K,forex;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
For Traders,,2-Step 100K,forex;crypto;cfd,100000,$434.00,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Instant Funding,,Instant 100K,forex;crypto;cfd,100000,$599.00,USD,,10,5,trailing,,,14,80,,MT5;cTrader,1:100,,,0,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Fintokei,,2-Step 100K,forex;crypto;cfd,100000,$549.00,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
WSFunded,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Orion Funded,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
ThinkCapital,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
BEM Funding,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Top One Trader,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
The Trading Pit,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
City Traders Imperium,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Hantec Trader,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Lark Funding,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
